001a,external\ps3\ep1\scene\001a.png
tata013_02_j,external\ps3\ep3\tips\tata013_02_j.png
tata_jisitu01,external\ps3\ep3\tata_jisitu01.png
tata_jisitu02,external\ps3\ep3\tata_jisitu02.png
tata_jisitu03,external\ps3\ep3\tata_jisitu03.png
tata_kuruma01,external\ps3\ep3\tata_kuruma01.png
tata_kuruma02,external\ps3\ep3\tata_kuruma02.png
tata_kuruma03,external\ps3\ep3\tata_kuruma03.png
tata_kuruma04,external\ps3\ep3\tata_kuruma04.png
tata_kuruma05,external\ps3\ep3\tata_kuruma05.png
tata_kuruma06,external\ps3\ep3\tata_kuruma06.png
tata_kuruma07,external\ps3\ep3\tata_kuruma07.png
tatari_list,external\ps3\ep3\text\tatari_list.png
tatari_list_j,external\ps3\ep3\text\tatari_list_j.png
tegami1,external\ps3\ep1\background\tegami1.png
tegami2,external\ps3\ep1\background\tegami2.png
tegami3,external\ps3\ep1\background\tegami3.png
tennai1,external\ps3\ep1\background\tennai1.png
tetu_1_0,external\ps3\ep5\sprite\tetu_1_0.png
tetu_1_1,external\ps3\ep5\sprite\tetu_1_1.png
tetu_1_2,external\ps3\ep5\sprite\tetu_1_2.png
tetu_2_0,external\ps3\ep6\portrait\tetu_2_0.png
tetu_2_1,external\ps3\ep6\portrait\tetu_2_1.png
tetu_2_2,external\ps3\ep6\portrait\tetu_2_2.png
tetu_3_0,external\ps3\ep6\portrait\tetu_3_0.png
tetu_3_1,external\ps3\ep6\portrait\tetu_3_1.png
tetu_3_2,external\ps3\ep6\portrait\tetu_3_2.png
tie_1_0,external\ps3\ep1\sprite\tie_1_0.png
tie_1_1,external\ps3\ep1\sprite\tie_1_1.png
tie_1_2,external\ps3\ep1\sprite\tie_1_2.png
tie_2_0,external\ps3\ep1\sprite\tie_2_0.png
tie_2_1,external\ps3\ep1\sprite\tie_2_1.png
tie_2_2,external\ps3\ep1\sprite\tie_2_2.png
tie_3_0,external\ps3\ep2\sprite\tie_3_0.png
tie_3_1,external\ps3\ep2\sprite\tie_3_1.png
tie_3_2,external\ps3\ep2\sprite\tie_3_2.png
tie_4_0,external\ps3\ep2\sprite\tie_4_0.png
tie_4_1,external\ps3\ep2\sprite\tie_4_1.png
tie_4_2,external\ps3\ep2\sprite\tie_4_2.png
tirasi1,external\ps3\ep5\background\tirasi1.png
title,external\ps3\ep1\scenario\title.png
title02,external\ps3\ep1\title02.png
title02_j,external\ps3\ep1\title02_j.png
title_hima,external\ps3\ep4\text\title_hima.png
title_hima_j,external\ps3\ep4\text\title_hima_j.png
title_j,external\ps3\ep1\scenario\title_j.png
title_mea,external\ps3\ep5\text\title_mea.png
title_mea_j,external\ps3\ep5\text\title_mea_j.png
title_mina,external\ps3\ep7\text\title_mina.png
title_mina_j,external\ps3\ep7\text\title_mina_j.png
title_oni,external\ps3\ep1\text\title_oni.png
title_oni_j,external\ps3\ep1\text\title_oni_j.png
title_tatari,external\ps3\ep3\text\title_tatari.png
title_tatari_j,external\ps3\ep3\text\title_tatari_j.png
title_tsumi,external\ps3\ep6\text\title_tsumi.png
title_tsumi_j,external\ps3\ep6\text\title_tsumi_j.png
title_wata,external\ps3\ep2\text\title_wata.png
title_wata_j,external\ps3\ep2\text\title_wata_j.png
titlelogo,external\ps3\ep5\titlelogo.png
titlelogo_j,external\ps3\ep5\titlelogo_j.png
tk_dojo,external\ps3\ep8\background\tk_dojo.png
tk_mo7,external\ps3\ep8\background\tk_mo7.png
tk_mo7_02,external\ps3\ep8\background\tk_mo7_02.png
tk_ryou1,external\ps3\ep8\background\tk_ryou1.png
tk_ryou3_02,external\ps3\ep8\background\tk_ryou3_02.png
tk_yo1,external\ps3\ep8\background\tk_yo1.png
tk_yo2,external\ps3\ep8\background\tk_yo2.png
toketu1a,external\ps3\ep2\toketu1a.png
toketu1b,external\ps3\ep2\toketu1b.png
toketu1c,external\ps3\ep2\toketu1c.png
tomi1_def_0,external\ps3\ep1\sprite\tomi1_def_0.png
tomi1_def_1,external\ps3\ep1\sprite\tomi1_def_1.png
tomi1_def_2,external\ps3\ep1\sprite\tomi1_def_2.png
tomi1_komaru_0,external\ps3\ep1\sprite\tomi1_komaru_0.png
tomi1_komaru_1,external\ps3\ep1\sprite\tomi1_komaru_1.png
tomi1_komaru_2,external\ps3\ep1\sprite\tomi1_komaru_2.png
tomi1_shinken_0,external\ps3\ep8\sprite\tomi1_shinken_0.png
tomi1_shinken_1,external\ps3\ep8\sprite\tomi1_shinken_1.png
tomi1_shinken_2,external\ps3\ep8\sprite\tomi1_shinken_2.png
tomi1_warai_0,external\ps3\ep1\sprite\tomi1_warai_0.png
tomi1_warai_1,external\ps3\ep1\sprite\tomi1_warai_1.png
tomi1_warai_2,external\ps3\ep1\sprite\tomi1_warai_2.png
tomi2_def_0,external\ps3\ep7\sprite\tomi2_def_0.png
tomi2_def_1,external\ps3\ep7\sprite\tomi2_def_1.png
tomi2_def_2,external\ps3\ep7\sprite\tomi2_def_2.png
tomi2_komaru_0,external\ps3\ep7\sprite\tomi2_komaru_0.png
tomi2_komaru_1,external\ps3\ep7\sprite\tomi2_komaru_1.png
tomi2_komaru_2,external\ps3\ep7\sprite\tomi2_komaru_2.png
tomi2_shinken_0,external\ps3\ep8\sprite\tomi2_shinken_0.png
tomi2_shinken_1,external\ps3\ep8\sprite\tomi2_shinken_1.png
tomi2_shinken_2,external\ps3\ep8\sprite\tomi2_shinken_2.png
tomi2_warai_0,external\ps3\ep7\sprite\tomi2_warai_0.png
tomi2_warai_1,external\ps3\ep7\sprite\tomi2_warai_1.png
tomi2_warai_2,external\ps3\ep7\sprite\tomi2_warai_2.png
tomi3_def_0,external\ps3\ep6\sprite\tomi3_def_0.png
tomi3_def_1,external\ps3\ep6\sprite\tomi3_def_1.png
tomi3_def_2,external\ps3\ep6\sprite\tomi3_def_2.png
tomi3_ikari_0,external\ps3\ep8\sprite\tomi3_ikari_0.png
tomi3_ikari_1,external\ps3\ep8\sprite\tomi3_ikari_1.png
tomi3_ikari_2,external\ps3\ep8\sprite\tomi3_ikari_2.png
tomi3_komaru_0,external\ps3\ep8\sprite\tomi3_komaru_0.png
tomi3_komaru_1,external\ps3\ep8\sprite\tomi3_komaru_1.png
tomi3_komaru_2,external\ps3\ep8\sprite\tomi3_komaru_2.png
tomi3_shinken_0,external\ps3\ep8\sprite\tomi3_shinken_0.png
tomi3_shinken_1,external\ps3\ep8\sprite\tomi3_shinken_1.png
tomi3_shinken_2,external\ps3\ep8\sprite\tomi3_shinken_2.png
tomi3_warai_0,external\ps3\ep8\sprite\tomi3_warai_0.png
tomi3_warai_1,external\ps3\ep8\sprite\tomi3_warai_1.png
tomi3_warai_2,external\ps3\ep8\sprite\tomi3_warai_2.png
tomita1_def_0,external\ps3\ep2\sprite\tomita1_def_0.png
tomita1_def_1,external\ps3\ep2\sprite\tomita1_def_1.png
tomita1_def_2,external\ps3\ep2\sprite\tomita1_def_2.png
tomita1_ikari_0,external\ps3\ep2\sprite\tomita1_ikari_0.png
tomita1_ikari_1,external\ps3\ep2\sprite\tomita1_ikari_1.png
tomita1_ikari_2,external\ps3\ep2\sprite\tomita1_ikari_2.png
tomita1_kanashimi_0,external\ps3\ep2\sprite\tomita1_kanashimi_0.png
tomita1_kanashimi_1,external\ps3\ep2\sprite\tomita1_kanashimi_1.png
tomita1_kanashimi_2,external\ps3\ep2\sprite\tomita1_kanashimi_2.png
tomita1_odoroki_0,external\ps3\ep2\sprite\tomita1_odoroki_0.png
tomita1_odoroki_1,external\ps3\ep2\sprite\tomita1_odoroki_1.png
tomita1_odoroki_2,external\ps3\ep2\sprite\tomita1_odoroki_2.png
tomita1_shinken_0,external\ps3\ep2\sprite\tomita1_shinken_0.png
tomita1_shinken_1,external\ps3\ep2\sprite\tomita1_shinken_1.png
tomita1_shinken_2,external\ps3\ep2\sprite\tomita1_shinken_2.png
tomita1_tere_0,external\ps3\ep2\sprite\tomita1_tere_0.png
tomita1_tere_1,external\ps3\ep2\sprite\tomita1_tere_1.png
tomita1_tere_2,external\ps3\ep2\sprite\tomita1_tere_2.png
tomita1_warai_0,external\ps3\ep2\sprite\tomita1_warai_0.png
tomita1_warai_1,external\ps3\ep2\sprite\tomita1_warai_1.png
tomita1_warai_2,external\ps3\ep2\sprite\tomita1_warai_2.png
tomita2_ikari_0,external\ps3\ep6\sprite\tomita2_ikari_0.png
tomita2_ikari_1,external\ps3\ep6\sprite\tomita2_ikari_1.png
tomita2_ikari_2,external\ps3\ep6\sprite\tomita2_ikari_2.png
tomita2_kanashimi_0,external\ps3\ep6\sprite\tomita2_kanashimi_0.png
tomita2_kanashimi_1,external\ps3\ep6\sprite\tomita2_kanashimi_1.png
tomita2_kanashimi_2,external\ps3\ep6\sprite\tomita2_kanashimi_2.png
tomita2_odoroki_0,external\ps3\ep6\sprite\tomita2_odoroki_0.png
tomita2_odoroki_1,external\ps3\ep6\sprite\tomita2_odoroki_1.png
tomita2_odoroki_2,external\ps3\ep6\sprite\tomita2_odoroki_2.png
tomita2_shinken_0,external\ps3\ep6\sprite\tomita2_shinken_0.png
tomita2_shinken_1,external\ps3\ep6\sprite\tomita2_shinken_1.png
tomita2_shinken_2,external\ps3\ep6\sprite\tomita2_shinken_2.png
tomita2_warai_0,external\ps3\ep6\sprite\tomita2_warai_0.png
tomita2_warai_1,external\ps3\ep6\sprite\tomita2_warai_1.png
tomita2_warai_2,external\ps3\ep6\sprite\tomita2_warai_2.png
torakku1,external\ps3\ep8\background\torakku1.png
torakku2,external\ps3\ep7\background\torakku2.png
torishirabeshitu,external\ps3\ep4\background\torishirabeshitu.png
torishirabeshitu_01,external\ps3\ep5\background\torishirabeshitu_01.png
tosyo1,external\ps3\ep2\background\tosyo1.png
tosyo1_01,external\ps3\ep7\background\tosyo1_01.png
tosyo2,external\ps3\ep2\background\tosyo2.png
transparent,external\ps3\ep5\transparent.png
tumi_staff_01,external\ps3\ep6\text\tumi_staff_01.png
tumi_staff_01_j,external\ps3\ep6\text\tumi_staff_01_j.png
tumi_staff_01_old,external\ps3\ep6\text\tumi_staff_01_old.png
tumi_staff_02_old,external\ps3\ep6\text\tumi_staff_02_old.png
tumi_t1,external\ps3\ep6\prologue\tumi_t1.png
tumi_t2,external\ps3\ep6\prologue\tumi_t2.png
tyuui,external\ps3\ep1\text\tyuui.png
tyuui2,external\ps3\ep1\text\tyuui2.png
tyuui2_j,external\ps3\ep1\text\tyuui2_j.png
tyuui_j,external\ps3\ep1\text\tyuui_j.png
up,external\ps3\ep1\up.png
usoda,external\ps3\ep6\text\usoda.png
usoda_j,external\ps3\ep6\text\usoda_j.png
v_heart,external\ps3\ep8\v_heart.png
waku_b,external\ps3\ep6\waku_b.png
waku_w,external\ps3\ep6\waku_w.png
wata001,external\ps3\ep2\tips\wata001.png
wata001_j,external\ps3\ep2\tips\wata001_j.png
wata002,external\ps3\ep2\tips\wata002.png
wata002_j,external\ps3\ep2\tips\wata002_j.png
wata003,external\ps3\ep2\tips\wata003.png
wata003_j,external\ps3\ep2\tips\wata003_j.png
wata004,external\ps3\ep2\tips\wata004.png
wata004_j,external\ps3\ep2\tips\wata004_j.png
wata005,external\ps3\ep2\tips\wata005.png
wata005_j,external\ps3\ep2\tips\wata005_j.png
wata007,external\ps3\ep2\tips\wata007.png
wata007_j,external\ps3\ep2\tips\wata007_j.png
wata008,external\ps3\ep2\tips\wata008.png
wata008_j,external\ps3\ep2\tips\wata008_j.png
wata009_02,external\ps3\ep2\tips\wata009_02.png
wata009_02_j,external\ps3\ep2\tips\wata009_02_j.png
wata010_02,external\ps3\ep2\tips\wata010_02.png
wata010_02_j,external\ps3\ep2\tips\wata010_02_j.png
wata010_04,external\ps3\ep2\tips\wata010_04.png
wata010_04_j,external\ps3\ep2\tips\wata010_04_j.png
wata011_02,external\ps3\ep2\tips\wata011_02.png
wata011_02_j,external\ps3\ep2\tips\wata011_02_j.png
white,external\ps3\ep1\white.png
white_mono1,external\ps3\ep8\white_mono1.png
white_mono1_6,external\ps3\ep6\white_mono1_6.png
windo_filter,external\ps3\ep1\windo_filter.png
windo_filter_adv,external\ps3\ep1\windo_filter_adv.png
windo_filter_nvladv,external\ps3\ep1\windo_filter_nvladv.png
x,external\ps3\ep1\x.png
xta1,external\ps3\ep8\background\xta1.png
xta2,external\ps3\ep8\background\xta2.png
xta3,external\ps3\ep8\background\xta3.png
y_damu2,external\ps3\ep1\background\y_damu2.png
y_ie1,external\ps3\ep1\background\y_ie1.png
y_kawa3,external\ps3\ep1\background\y_kawa3.png
y_oni1,external\ps3\ep4\background\y_oni1.png
y_oni1_01,external\ps3\ep3\background\y_oni1_01.png
yg2,external\ps3\ep7\background\yg2.png
ygk1,external\ps3\ep7\background\ygk1.png
ygk3,external\ps3\ep7\background\ygk3.png
yhu2,external\ps3\ep2\background\yhu2.png
ymo1,external\ps3\ep5\background\ymo1.png
ymo1_01,external\ps3\ep3\background\ymo1_01.png
ymo2,external\ps3\ep5\background\ymo2.png
ymo2_01,external\ps3\ep3\background\ymo2_01.png
ymo3,external\ps3\ep5\background\ymo3.png
ymo3_01,external\ps3\ep3\background\ymo3_01.png
yugk3_01,external\ps3\ep3\background\yugk3_01.png
